AppelKey,Libelle_code_appel,Code_appel,Held,Raccroche_agent,Interruptdel,Numero_compose
1,answered,2.0,5.0,1.0,0.0,2788675.0
2,answered,2.0,7.0,0.0,0.0,2788675.0
3,answered,2.0,7.0,1.0,0.0,2788675.0
4,answered,2.0,4.0,0.0,0.0,2788675.0
5,answered,2.0,6.0,1.0,0.0,2796550.0
6,answered,2.0,4.0,0.0,0.0,2796549.0
7,answered,2.0,4.0,1.0,0.0,2796569.0
8,answered,2.0,4.0,1.0,0.0,2796504.0
9,answered,2.0,5.0,0.0,0.0,2796551.0
10,answered,2.0,5.0,1.0,0.0,2796514.0
11,answered,2.0,8.0,0.0,0.0,2788656.0
12,answered,2.0,4.0,0.0,0.0,2788688.0
13,answered,2.0,4.0,0.0,0.0,2796584.0
14,answered,2.0,4.0,1.0,0.0,2788592.0
15,answered,2.0,7.0,1.0,0.0,2796604.0
16,answered,2.0,3.0,1.0,0.0,2796600.0
17,answered,2.0,3.0,0.0,0.0,2796514.0
18,answered,2.0,3.0,1.0,0.0,2796513.0
19,answered,2.0,3.0,1.0,0.0,2796514.0
20,answered,2.0,3.0,1.0,0.0,2796008.0
21,answered,2.0,3.0,1.0,0.0,2796681.0
22,answered,2.0,3.0,0.0,0.0,2788616.0
23,answered,2.0,3.0,1.0,0.0,2796024.0
24,answered,2.0,3.0,0.0,0.0,2788592.0
25,answered,2.0,3.0,1.0,0.0,2796586.0
26,answered,2.0,3.0,0.0,0.0,2788649.0
27,answered,2.0,3.0,0.0,0.0,2796587.0
28,answered,2.0,3.0,1.0,0.0,2796587.0
29,answered,2.0,3.0,1.0,0.0,2796515.0
30,answered,2.0,3.0,1.0,0.0,2796503.0
31,answered,2.0,3.0,1.0,0.0,2796584.0
32,answered,2.0,3.0,1.0,0.0,2788617.0
33,answered,2.0,3.0,0.0,0.0,2796504.0
34,answered,2.0,3.0,1.0,0.0,2788576.0
35,answered,2.0,3.0,1.0,0.0,2788681.0
36,answered,2.0,3.0,0.0,0.0,2788646.0
37,answered,2.0,3.0,1.0,0.0,2796501.0
38,answered,2.0,3.0,1.0,0.0,2796506.0
39,answered,2.0,3.0,1.0,0.0,2796551.0
40,answered,2.0,3.0,0.0,0.0,2796596.0
41,answered,2.0,3.0,0.0,0.0,2796009.0
42,answered,2.0,3.0,0.0,0.0,2796503.0
43,answered,2.0,3.0,0.0,0.0,2788617.0
44,answered,2.0,3.0,0.0,0.0,2788589.0
45,answered,2.0,3.0,1.0,0.0,2796618.0
46,answered,2.0,3.0,1.0,0.0,2796707.0
47,answered,2.0,3.0,1.0,0.0,2796504.0
48,answered,2.0,3.0,1.0,0.0,2796604.0
49,answered,2.0,3.0,0.0,0.0,2788671.0
50,answered,2.0,3.0,0.0,0.0,2788654.0
51,answered,2.0,3.0,0.0,0.0,2796551.0
52,answered,2.0,3.0,1.0,0.0,2796569.0
53,answered,2.0,3.0,0.0,0.0,2788637.0
54,answered,2.0,3.0,0.0,0.0,2788621.0
55,answered,2.0,3.0,0.0,0.0,2796584.0
56,answered,2.0,3.0,1.0,0.0,2796509.0
57,answered,2.0,3.0,1.0,0.0,2788603.0
58,answered,2.0,3.0,0.0,0.0,2788675.0
59,answered,2.0,3.0,1.0,0.0,2788650.0
60,answered,2.0,3.0,0.0,0.0,2796560.0
61,answered,2.0,3.0,0.0,0.0,2796586.0
