VDNKey,Nom_VDN,VDN_ID,Zone_geographique
1,LH_OFL_22013,2788675.0,France
2,LH_OFL_22228,2796550.0,France
3,LH_OFL_22231,2796549.0,France
4,LH_CORPORATE,2796569.0,France
5,LH_CL_PC_VILLEPINTE,2796504.0,France
6,LH_PC_BORDEAUX_SUD,2796551.0,France
7,LH_EN_CA_BLANCMES_C2,2796514.0,France
8,LH_OFL_21919,2788656.0,France
9,LH_OFL_22052,2788688.0,France
10,LH_RCWBRPC,2796584.0,France
11,LH_OFS_22118,2788592.0,France
12,GT_ FRANCE,2796604.0,France
13,LH_INTERNATIONAL,2796600.0,International
14,LH_EN_PC_VILLEPIN_C2,2796513.0,France
15,LH_OFL_21980,2796008.0,France
16,LH_OFL_22157,2796681.0,France
17,LH_OFL_21791,2788616.0,France
18,LH_OFS_22231,2796024.0,France
19,LH_RCWBRCA,2796586.0,France
20,LH_OFL_21903,2788649.0,France
21,LH_RCWBRKY,2796587.0,France
22,LH_EN_PC_BLANCMES_C2,2796515.0,France
23,LH_CL_PC_ROISSY,2796503.0,France
24,LH_OFL_21796,2788617.0,France
25,LH_OFS_22266,2788576.0,France
26,LH_OFL_22035,2788681.0,France
27,LH_OFL_21895,2788646.0,France
28,LH_CL_GT_ROISSY,2796501.0,France
29,LH_CL_PC_BLANCMESNIL,2796506.0,France
30,LH_MULTI_NL_2,2796596.0,Europe
31,LH_OFL_21989,2796009.0,France
32,LH_OFS_22136,2788589.0,France
33,LH_OFS_22281,2796618.0,France
34,GT_GERMANY,2796707.0,Europe
35,LH_OFL_21987,2788671.0,France
36,LH_OFL_21915,2788654.0,France
37,LH_OFL_21859,2788637.0,France
38,LH_OFL_21809,2788621.0,France
39,LH_EN_CA_ROISSY_C2,2796509.0,France
40,LH_OFL_21746,2788603.0,France
41,LH_OFL_21904,2788650.0,France
42,LH_OFL_22163,2796560.0,France
43,LH_RCGUIPC,2796591.0,France
44,GT_INTERNATIONAL_CH1,2710413.0,International
45,LH_OFS_22148,2788590.0,France
46,LH_OFL_22179,2796671.0,France
47,LH_OFL_22050,2788686.0,France
48,LH_OFL_21778,2788609.0,France
49,LH_OFL_21995,2796010.0,France
50,LH_OFS_22185,2710324.0,France
51,LH_OFL_21932,2788660.0,France
52,LH_OFL_21801,2788620.0,France
53,LH_OFL_21790,2788615.0,France
54,LH_OFL_21817,2788624.0,France
55,LH_MULTI_APV,2796543.0,France
56,LH_RCGUICA,2796574.0,France
57,LH_OFL_21999,2788673.0,France
58,LH_OFS_22181,2796020.0,France
59,LH_OFL_22089,2796013.0,France
60,LH_OFL_21740,2788600.0,France
61,LH_OFL_21940,2796006.0,France
62,LH_OFL_21921,2788657.0,France
63,LH_OFL_22062,2788689.0,France
64,LH_OFL_21826,2796003.0,France
65,LH_OFL_22023,2788678.0,France
66,LH_OFS_22173,2796017.0,France
67,LH_OFL_22173,2796621.0,France
68,LH_OFL_21800,2788619.0,France
69,LH_OFL_50038,2788588.0,France
70,LH_OFL_21884,2788643.0,France
71,LH_OFL_21777,2788608.0,France
72,LH_OFL_21842,2788631.0,France
73,LH_OFL_21885,2788644.0,France
74,LH_CL_CA_VILLEPINTE,2796502.0,France
75,LH_OFL_21986,2788670.0,France
76,LH_OFL_21929,2788659.0,France
77,LH_OFL_22043,2788683.0,France
78,LH_OFL_22221,2796610.0,France
79,LH_OFL_22180,2788574.0,France
80,LH_OFS_22258,2796559.0,France
81,LH_OFL_22383,2788584.0,France
82,LH_OFS_22174,2796667.0,France
83,LH_OFL_21786,2788612.0,France
84,LH_OFL_22024,2796011.0,France
85,LH_OFL_22316,2788581.0,France
86,LH_OFL_21853,2788634.0,France
87,LH_OFL_22177,2796670.0,France
88,LH_OFL_22051,2788687.0,France
89,LH_OFL_21799,2788618.0,France
90,LH_CL_CA_BLANCMESNIL,2796505.0,France
91,GT_BRAZIL_CHOIX_1,2710384.0,International
92,LH_RCWMOKY,2796588.0,France
93,LH_OFL_21972,2788666.0,France
94,LH_OFL_21840,2788630.0,France
95,LH_OFL_21902,2788648.0,France
96,LH_OFL_21787,2788613.0,France
97,LH_OFL_21928,2788658.0,France
98,LH_PC_0021_C1,2710301.0,France
99,LH_OFL_22079,2796012.0,France
100,LH_OFL_22064,2788691.0,France
101,LH_OFL_21899,2796004.0,France
102,LH_OFL_22090,2788697.0,France
103,LH_OFS_22283,2796615.0,France
104,LH_OFL_21890,2788645.0,France
105,LH_OFL_22233,2796548.0,France
106,LH_PC_0043_C1,2710306.0,France
107,LH_OFL_22082,2788693.0,France
108,LH_OFS_22283,2710354.0,France
109,LH_OFL_21779,2788610.0,France
110,LH_OFL_21983,2788668.0,France
111,LH_OFL_22193,2796633.0,France
112,LH_OFL_21834,2788628.0,France
113,LH_OFL_21815,2788623.0,France
114,LH_OFL_22087,2788695.0,France
